SampleID	Genotype	Treatment	Timepoint	Replicate
Col_3_OH10_000	Col	FA3OH10	000_min	1
Col_3_OH10_005	Col	FA3OH10	005_min	1
Col_3_OH10_010	Col	FA3OH10	010_min	1
Col_3_OH10_030	Col	FA3OH10	030_min	1
Col_3_OH10_090	Col	FA3OH10	090_min	1
Col_3_OH10_180	Col	FA3OH10	180_min	1
Col_chitooct_005	Col	CO8	005_min	1
Col_chitooct_010	Col	CO8	010_min	1
Col_chitooct_030	Col	CO8	030_min	1
Col_chitooct_090	Col	CO8	090_min	1
Col_chitooct_180	Col	CO8	180_min	1
Col_elf18_000	Col	elf18	000_min	1
Col_elf18_005	Col	elf18	005_min	1
Col_elf18_010	Col	elf18	010_min	1
Col_elf18_030	Col	elf18	030_min	1
Col_elf18_090	Col	elf18	090_min	1
Col_elf18_180	Col	elf18	180_min	1
Col_flg22_000	Col	flg22	000_min	1
Col_flg22_005	Col	flg22	005_min	1
Col_flg22_010	Col	flg22	010_min	1
Col_flg22_030	Col	flg22	030_min	1
Col_flg22_090	Col	flg22	090_min	1
Col_flg22_180	Col	flg22	180_min	1
Col_mock_000	Col	mock	000_min	1
Col_mock_005	Col	mock	005_min	1
Col_mock_010	Col	mock	010_min	1
Col_mock_030	Col	mock	030_min	1
Col_mock_090	Col	mock	090_min	1
Col_mock_180	Col	mock	180_min	1
Col_nlp20_000	Col	nlp20	000_min	1
Col_nlp20_010	Col	nlp20	010_min	1
Col_nlp20_030	Col	nlp20	030_min	1
Col_nlp20_090	Col	nlp20	090_min	1
Col_nlp20_180	Col	nlp20	180_min	1
Col_OGs_000	Col	OG	000_min	1
Col_OGs_005	Col	OG	005_min	1
Col_OGs_010	Col	OG	010_min	1
Col_OGs_030	Col	OG	030_min	1
Col_OGs_090	Col	OG	090_min	1
Col_OGs_180	Col	OG	180_min	1
Col_Pep1_000	Col	pep1	000_min	1
Col_Pep1_005	Col	pep1	005_min	1
Col_Pep1_010	Col	pep1	010_min	1
Col_Pep1_030	Col	pep1	030_min	1
Col_Pep1_090	Col	pep1	090_min	1
Col_Pep1_180	Col	pep1	180_min	1
efr_1_elf18_000	efr	elf18	000_min	1
efr_1_elf18_005	efr	elf18	005_min	1
efr_1_elf18_010	efr	elf18	010_min	1
